apro_mt_lscatl
apro_mt_lsequi
apro_mt_lsgoat
apro_mt_lspig
apro_mt_lssheep
apro_mt_pann
apro_mt_pcatlhs
apro_mt_pheadm
apro_mt_ppighq
apro_mt_pslothm
apro_mt_pwgtm
apro_mt_sloth
apro_mt_strcatl
apro_mt_strgoat
apro_mt_strpig
apro_mt_strshe
cens_01nactz
cens_01napop
cens_01nelev
cens_01nhfstctz
cens_01nhhst
cens_01nhtype
cens_01nscbirth
cens_01nsctz
cens_01nsres
cens_01rapop
cens_01rews
cens_01rhsize
cens_01rhtype
cens_01rsctz
cens_11aed_r2
cens_11ag_r3
cens_11an_r2
cens_11ao_r2
cens_11arco_r2
cens_11cob_n
cens_11coba_r2
cens_11cobe_r2
cens_11cobo_r2
cens_11ctz_n
cens_11ctzo_r2
cens_11empn_r2
cens_11empo_r2
cens_11fs_r3
cens_11hou_r2
cens_11ms_r3
cens_91sbirth
cens_91sctz
cens_91smsta
cens_hncas
cens_hnctz
cens_hnelev
cens_hnmga
demo_pjan
demo_pjanbroad
demo_pjanedu
demo_pjangroup
demo_pjanind
demo_pjanmarsta
demo_r_d2jan
demo_r_pjanaggr3
demo_r_pjangroup
demo_r_pjangrp3
demo_r_pjanind2
demo_r_pjanind3
edat_lfs_9901
edat_lfs_9902
edat_lfs_9903
edat_lfs_9904
edat_lfs_9911
edat_lfs_9912
edat_lfs_9913
edat_lfs_9915
edat_lfs_9916
edat_lfs_9917
edat_lfs_9918
edat_lfse_03
hlth_de040
hlth_dhc010
hlth_dlm040
hlth_dp020
hlth_dp040
hlth_dp060
hlth_dp070
hlth_dp080
hlth_dpeh005
hlth_dpeh010
hlth_dpeh020
hlth_dpeh030
hlth_dpeh040
hlth_dpeh050
hlth_dpeh060
hlth_dpeh070
hlth_dpeh080
lfsa_pgacws
lfsa_pgaed
lfsa_pgaied
lfsa_pganws
lfso_08cobsmf
lfso_08cobsp
lfso_08cobsped
lfso_14pciti
lfso_14pcob
lfso_14pcobp
lfso_14purb
lfso_16feduc
lfso_16nfeduc
lfso_16workexp
lfso_18crescb
lfso_18cresdu
lfso_18cresed
lfso_18creshc
lfso_18cresls
lfso_18cresnat
lfso_18stwkcb
lfso_18stwked
lfso_18stwknat
lfsq_pgaed
lfsq_pgaied
lfsq_pganws
lfst_r_lfsd2pwc
lfst_r_lfsd2pwn
lfst_r_pgauwsc
lfst_r_pgauwsn
med_ps112
met_lfsd3pop
met_pjanaggr3
met_pjangrp3
migr_pop1ctz
migr_pop2ctz
migr_pop3ctb
migr_pop4ctb
migr_pop5ctz
migr_pop6ctb
migr_pop7ctz
migr_pop8ctb
proj_15npms
proj_18np
tgs00096
tipslm16
tps00010
urb_cpop1
urb_cpopcb
urb_lpop1
urb_lpopcb
urt_lfsd3pop
urt_pjanaggr3
urt_pjangrp3
