mg O2 per litre,http://www.wurvoc.org/vocabularies/om-1.8/milligram_per_litre
mg PO4 per litre,http://www.wurvoc.org/vocabularies/om-1.8/milligram_per_litre
MN,http://www.wurvoc.org/vocabularies/om-1.8/minute-time
Number of persons employed in the ICT sector as % of the total employment,http://www.wurvoc.org/vocabularies/om-1.8/percent
"Participation rates, all levels (%)",http://www.wurvoc.org/vocabularies/om-1.8/percent
PC,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_ACT,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_ACT_FTE,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_BEN,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_CHE,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_DI,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_EMP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_EMP_FTE,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_ENT,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_EU28_MPPS_CP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_EXP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_FTE,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_GBA,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_GDP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_GDP_3Y,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_GEXP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_GVA,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_HC,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_HH,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_HH_IACC,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_HH_IACCX,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_INAC,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_IND,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_LSU,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_POP,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_SAL,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_TOT,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_TURN,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_UAA,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_UNE,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_WMN,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_WRL,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_Y_LT60,http://www.wurvoc.org/vocabularies/om-1.8/percent
PC_Y20-29,http://www.wurvoc.org/vocabularies/om-1.8/percent
PTP_RT,http://www.wurvoc.org/vocabularies/om-1.8/percent
%,http://www.wurvoc.org/vocabularies/om-1.8/percent
% - Seasonally adjusted data,http://www.wurvoc.org/vocabularies/om-1.8/percent
% - Seasonally and calendar adjusted data,http://www.wurvoc.org/vocabularies/om-1.8/percent
% - Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),http://www.wurvoc.org/vocabularies/om-1.8/percent
% change from previous year,http://www.wurvoc.org/vocabularies/om-1.8/percent
% distance to poverty threshold,http://www.wurvoc.org/vocabularies/om-1.8/percent
% in total inland freight tonne-km,http://www.wurvoc.org/vocabularies/om-1.8/percent
% in total inland passenger-km,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of 15-year-old students,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of GDP,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of GDP and million EUR,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of LSU,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of UAA,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of active population,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of all 4-year-olds,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of average gross hourly earnings of men,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of employees aged 20 to 64,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of enterprises with at least 10 persons employed in the given NACE sectors,http://www.wurvoc.org/vocabularies/om-1.8/percent
"% of enterprises with at least 10 persons employed in the given NACE sectors, by size class. NACE Rev 2 since 2009 (break in series in 2009)",http://www.wurvoc.org/vocabularies/om-1.8/percent
% of enterprises with at least 10 persons employed in the given NACE sectors. NACE Rev 2 since 2009 (break in series in 2009),http://www.wurvoc.org/vocabularies/om-1.8/percent
% of exports,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of gross national income (GNI),http://www.wurvoc.org/vocabularies/om-1.8/percent
% of households with at least one member aged 16 to 74,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of households with at least one member aged 16 to 74 and Internet access,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of households with at least one member aged 16 to 74 and without Internet access at home,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of imports in total energy consumption,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of inactive population aged 20 to 64,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of income,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of individuals,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of individuals aged 16 to 74,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of individuals aged 16 to 74.,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of individuals aged 16-74,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of long term average available water (LTAA),http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 15 or over,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 15 to 29,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 16 and over,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 18 or over,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 18 to 24,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 20 to 34 with at least upper-secondary education,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 20 to 64,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 25 to 64,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of population aged 30 to 34,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of positions,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of seats,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the age group between 4-years-old and the starting age of compulsory education,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the age group between 4-years-old and the starting age of compulsory primary education,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the population aged 15-24 years,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the population aged 18-24 with at most lower secondary education and not in further education or training,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the population aged 20-24 years,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the population aged 20-29 years,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of the total generation,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total GERD,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total emissions,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total employment,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total expenditure,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total expenditure on social protection,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total general government expenditure,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total inland freight tonne-km,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total inland passenger-km,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total labour costs,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total land area,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total live births,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total number of employees,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total population,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total population aged less than 60,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total taxes,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total waste generated,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of total waste treated,http://www.wurvoc.org/vocabularies/om-1.8/percent
% of utilised agricultural area (UAA),http://www.wurvoc.org/vocabularies/om-1.8/percent
% of women,http://www.wurvoc.org/vocabularies/om-1.8/percent
% share of total current health expenditure,http://www.wurvoc.org/vocabularies/om-1.8/percent
Annual average (%),http://www.wurvoc.org/vocabularies/om-1.8/percent
Annual average rate of change (%),http://www.wurvoc.org/vocabularies/om-1.8/percent
Annual percentage change in total employed population,http://www.wurvoc.org/vocabularies/om-1.8/percent
By sex (%),http://www.wurvoc.org/vocabularies/om-1.8/percent
